pair,preposition,iou,experiment_path
preposition-verb,through,0.0,experiments/74246
preposition-subject,up,0.0,experiments/27141
preposition-object,up,0.01421464141458273,experiments/27141
preposition-verb,up,0.03316749632358551,experiments/27141
preposition-subject,on,0.07647059112787247,experiments/325298
preposition-object,on,0.0,experiments/325298
preposition-verb,on,0.0,experiments/325298
preposition-subject,with,0.03869541361927986,experiments/217727
preposition-object,with,0.0,experiments/217727
preposition-verb,with,0.44237828254699707,experiments/217727
preposition-subject,among,0.0,experiments/654453
preposition-object,among,0.0,experiments/654453
preposition-subject,of,0.672468900680542,experiments/172833
preposition-object,of,0.1966310292482376,experiments/172833
preposition-subject,of,0.0,experiments/490736
preposition-object,of,0.0,experiments/490736
preposition-subject,of,0.0,experiments/827061
preposition-object,of,0.0,experiments/827061
preposition-subject,behind,0.0,experiments/791971
preposition-object,behind,0.0,experiments/791971
preposition-verb,behind,0.0,experiments/791971
preposition-subject,with,0.0,experiments/425512
preposition-object,with,0.0,experiments/425512
preposition-subject,on top of,0.0,experiments/194154
preposition-object,on top of,0.0,experiments/194154
preposition-verb,on top of,0.0,experiments/194154
preposition-subject,on,0.050345782190561295,experiments/317697
preposition-object,on,0.0,experiments/317697
preposition-verb,on,0.0,experiments/317697
preposition-subject,above,0.5633727312088013,experiments/8468
preposition-object,above,0.16700375080108643,experiments/8468
preposition-verb,above,0.0,experiments/8468
preposition-subject,by,0.004761904943734407,experiments/94896
preposition-object,by,0.0,experiments/94896
preposition-verb,by,0.0,experiments/94896
preposition-subject,of,0.0,experiments/714060
preposition-object,of,0.0,experiments/714060
preposition-verb,of,0.0,experiments/714060
preposition-subject,with,0.0,experiments/239153
preposition-object,with,0.0,experiments/239153
preposition-subject,at,0.0,experiments/466163
preposition-object,at,0.0,experiments/466163
preposition-verb,at,0.0,experiments/466163
preposition-subject,around,0.010351967066526413,experiments/545517
preposition-object,around,0.0,experiments/545517
preposition-verb,around,0.0,experiments/545517
preposition-subject,on,0.004666666500270367,experiments/759552
preposition-object,on,0.0,experiments/759552
preposition-subject,with,0.000244140625,experiments/797290
preposition-object,with,0.0007874015718698502,experiments/797290
preposition-subject,wearing,0.015728477388620377,experiments/827716
preposition-object,wearing,0.025477707386016846,experiments/827716
preposition-subject,with,0.474420964717865,experiments/212641
preposition-object,with,0.7220667004585266,experiments/212641
preposition-verb,with,0.042504455894231796,experiments/212641
preposition-subject,by,0.08154296875,experiments/13487
preposition-object,by,0.08175791800022125,experiments/13487
preposition-verb,by,0.0,experiments/13487
preposition-subject,with,0.0,experiments/323698
preposition-object,with,0.0,experiments/323698
preposition-subject,of,0.0,experiments/316623
preposition-object,of,0.0,experiments/316623
preposition-verb,of,0.0,experiments/316623
preposition-subject,in,0.0,experiments/475601
preposition-object,in,0.0,experiments/475601
preposition-verb,in,0.0,experiments/475601
preposition-subject,with,0.04534883797168732,experiments/623509
preposition-object,with,0.0,experiments/623509
preposition-verb,with,0.0,experiments/623509
preposition-subject,in front of,0.0,experiments/733084
preposition-object,in front of,0.0,experiments/733084
preposition-subject,in and out,0.0,experiments/786111
preposition-object,in and out,0.0,experiments/786111
preposition-verb,in and out,0.0,experiments/786111
preposition-subject,in,0.08143322169780731,experiments/355648
preposition-object,in,0.0,experiments/355648
preposition-verb,in,0.0,experiments/355648
preposition-subject,on,0.16304348409175873,experiments/418903
preposition-object,on,0.0,experiments/418903
preposition-subject,of,0.0,experiments/144798
preposition-object,of,0.30891087651252747,experiments/144798
preposition-subject,in,0.0,experiments/250798
preposition-object,in,0.0,experiments/250798
preposition-verb,in,0.0,experiments/250798
preposition-subject,on,0.0,experiments/787064
preposition-object,on,0.0,experiments/787064
preposition-verb,on,0.0,experiments/787064
preposition-subject,on,0.0,experiments/565510
preposition-object,on,0.0,experiments/565510
preposition-verb,on,0.0,experiments/565510
preposition-subject,at,0.0,experiments/738861
preposition-object,at,0.0,experiments/738861
preposition-verb,at,0.0,experiments/738861
preposition-subject,on,0.0,experiments/434364
preposition-object,on,0.0,experiments/434364
preposition-verb,on,0.0,experiments/434364
preposition-subject,of,0.0,experiments/153969
preposition-object,of,0.0,experiments/153969
preposition-verb,of,0.0,experiments/153969
preposition-subject,with,0.0,experiments/512756
preposition-object,with,0.0,experiments/512756
preposition-verb,with,0.0,experiments/512756
preposition-subject,to,0.0,experiments/79919
preposition-object,to,0.0,experiments/79919
preposition-verb,to,0.0,experiments/79919
preposition-subject,on,0.0,experiments/581672
preposition-object,on,0.0,experiments/581672
preposition-verb,on,0.0,experiments/581672
preposition-subject,off,0.0,experiments/136266
preposition-object,off,0.0,experiments/136266
preposition-verb,off,0.0,experiments/136266
preposition-subject,side by side,0.0,experiments/379035
preposition-verb,side by side,0.0,experiments/379035
preposition-subject,on,0.0,experiments/669848
preposition-object,on,0.0,experiments/669848
preposition-verb,on,0.0,experiments/669848
preposition-subject,on,0.7019354701042175,experiments/736865
preposition-object,on,0.0895218700170517,experiments/736865
preposition-verb,on,0.026234567165374756,experiments/736865
preposition-subject,with,0.09589041024446487,experiments/19458
preposition-object,with,0.04724409431219101,experiments/19458
preposition-subject,with,0.7534165382385254,experiments/189276
preposition-object,with,0.6969072222709656,experiments/189276
preposition-verb,with,0.0,experiments/189276
preposition-subject,with,0.18212890625,experiments/476292
preposition-object,with,0.20342205464839935,experiments/476292
preposition-subject,of,0.011101622134447098,experiments/327981
preposition-object,of,0.0055183288641273975,experiments/327981
preposition-subject,in,0.0,experiments/216000
preposition-object,in,0.0,experiments/216000
preposition-verb,in,0.0,experiments/216000
preposition-subject,up at,0.0,experiments/576963
preposition-object,up at,0.0,experiments/576963
preposition-verb,up at,0.0,experiments/576963
preposition-subject,around,0.428955078125,experiments/222385
preposition-object,around,0.05966586992144585,experiments/222385
preposition-verb,around,0.024473534896969795,experiments/222385
preposition-subject,of,0.0,experiments/516324
preposition-object,of,0.0,experiments/516324
preposition-verb,of,0.0,experiments/516324
preposition-subject,of,0.0,experiments/19526
preposition-object,of,0.0,experiments/19526
preposition-subject,in,0.04765291512012482,experiments/108154
preposition-object,in,0.0,experiments/108154
preposition-subject,on,0.0,experiments/519398
preposition-object,on,0.0,experiments/519398
preposition-verb,on,0.0,experiments/519398
preposition-subject,next to,0.0,experiments/249316
preposition-object,next to,0.0,experiments/249316
preposition-verb,next to,0.0,experiments/249316
preposition-subject,on,0.00028481913614086807,experiments/382719
preposition-object,on,0.0014641288435086608,experiments/382719
preposition-subject,at,0.0,experiments/94669
preposition-object,at,0.0,experiments/94669
preposition-verb,at,0.0,experiments/94669
preposition-subject,of,0.0,experiments/443022
preposition-object,of,0.0,experiments/443022
preposition-verb,of,0.0,experiments/443022
preposition-subject,like,0.0,experiments/6942
preposition-verb,like,0.0,experiments/6942
preposition-subject,on,0.000732421875,experiments/64503
preposition-object,on,0.0010668563190847635,experiments/64503
preposition-verb,on,0.0,experiments/64503
preposition-subject,on,0.0,experiments/374563
preposition-object,on,0.0,experiments/374563
preposition-verb,on,0.0,experiments/374563
preposition-subject,next to,0.0030303029343485832,experiments/104585
preposition-object,next to,0.0,experiments/104585
preposition-verb,next to,0.0,experiments/104585
preposition-subject,on,0.0,experiments/400153
preposition-object,on,0.0,experiments/400153
preposition-verb,on,0.0,experiments/400153
preposition-subject,through,0.04611528664827347,experiments/89181
preposition-object,through,0.058673471212387085,experiments/89181
preposition-verb,through,0.40740740299224854,experiments/89181
preposition-subject,in,0.1260504275560379,experiments/406005
preposition-object,in,0.0,experiments/406005
preposition-subject,on,0.0,experiments/474914
preposition-object,on,0.0,experiments/474914
preposition-verb,on,0.0,experiments/474914
preposition-subject,of,0.0004886391689069569,experiments/445648
preposition-object,of,0.0,experiments/445648
preposition-verb,of,0.0,experiments/445648
preposition-subject,of,0.050632912665605545,experiments/539421
preposition-object,of,0.0,experiments/539421
preposition-subject,with,0.0,experiments/532615
preposition-object,with,0.0,experiments/532615
preposition-subject,in,0.0,experiments/234200
preposition-object,in,0.0,experiments/234200
preposition-subject,near,0.009429280646145344,experiments/683896
preposition-object,near,0.0,experiments/683896
preposition-verb,near,0.10000000149011612,experiments/683896
preposition-subject,off,0.0,experiments/767578
preposition-object,off,0.0,experiments/767578
preposition-verb,off,0.0,experiments/767578
preposition-subject,on,0.0,experiments/556566
preposition-object,on,0.0,experiments/556566
preposition-verb,on,0.0,experiments/556566
preposition-subject,with,0.024026302620768547,experiments/288306
preposition-object,with,0.03002309426665306,experiments/288306
preposition-verb,with,0.0,experiments/288306
preposition-subject,on,0.0,experiments/516848
preposition-object,on,0.0,experiments/516848
preposition-verb,on,0.0,experiments/516848
preposition-subject,next to,0.0,experiments/766974
preposition-object,next to,0.0,experiments/766974
preposition-verb,next to,0.0,experiments/766974
preposition-subject,with,0.03833865746855736,experiments/557521
preposition-object,with,0.0881979689002037,experiments/557521
preposition-subject,with,0.16748046875,experiments/120292
preposition-object,with,0.0022753127850592136,experiments/120292
preposition-verb,with,0.0,experiments/120292
preposition-subject,at,0.0,experiments/437511
preposition-object,at,0.0,experiments/437511
preposition-verb,at,0.0,experiments/437511
preposition-subject,of,0.0,experiments/728865
preposition-object,of,0.0,experiments/728865
preposition-verb,of,0.0,experiments/728865
preposition-subject,for,0.0,experiments/222017
preposition-object,for,0.0,experiments/222017
preposition-verb,for,0.0,experiments/222017
preposition-subject,of,0.0,experiments/28629
preposition-object,of,0.0,experiments/28629
preposition-verb,of,0.0,experiments/28629
preposition-subject,on,0.06907378137111664,experiments/627885
preposition-object,on,0.00577367190271616,experiments/627885
preposition-verb,on,0.0,experiments/627885
preposition-subject,next to,0.0,experiments/103400
preposition-object,next to,0.0,experiments/103400
